ItemNumber,ShippingReportWeight
A5254,4.899704781
A1898,0.451778001
A2824,0.231332109
A8286,0.221
A8751,7.53
E1089,45
A10565,0.015
E3155,0.124
E3891,0.512105786
A2979,1.7
A3874,3.068552383
A3631,0.911
A5382,0.36559545
A5441,0.75976722
A2242,0.451778001
A2825,0.283
12485,0.015
171153,0.059
19555,0.036
18981,0.035
16553,0.002
12405,0.14
19807,0.008
A2682,0.0813
10516,0.014
16908,0.021
A2495,0.420480127
20635,0.001
A4647,0.128
A4905,0.1876
A4952,0.04399846
A6613,0.09570799
E2273,1.07
20781,0.006
171165,0.027
A1945,0.449963631
10608,0.031
A6069,0.619607177
A4174,0.803
A3054,0.045
E5264,1.033
167713,0.073
15905,0.005
A4198,0.132902564
A3142,1.049612744
A6033,0.0432
A2035,5.03
A3250,0.246
A2834,4.35
A3033,1.71
A4073,3.66
A3833,0.115
A3831,0.707
21596,0.041
S2926,10
13297,0.005
12689,0.043
15553,0.007
E6208,3.14
E1245,4.234
E5518,0.0565
E5655,0.126
E6120,3.7
E6242,4.18
E6169,2.5
21986,0.085
20493,0.0425
A1757,0.363327488
E3786,0.228
13718,0.004
16408,0.03
12356,0.021
15396,0.226
A7501,0.007
20676,0.0254
E2186,0.065
